Targa,TipoCambio,NumeroSerie,PrezzoListino,AnnoImmatricolazione,IdConcessionaria,IdModello,IdColore
EP110NT,Automatico,SN5783242,27600,2019,CONC126,MOD643,COL26
FC327QQ,Automatico,SN4625849,63200,2023,CONC63,MOD24,COL27
SH698TB,Manuale,SN5938347,38800,2009,CONC188,MOD287,COL24
BH698XY,Automatico,SN6101894,45200,2018,CONC70,MOD190,COL22
LW367WD,Automatico,SN8024756,39700,2020,CONC138,MOD244,COL10
RF296XC,Manuale,SN3984177,36700,2009,CONC119,MOD204,COL26
AP652NH,Manuale,SN9461282,36000,2022,CONC65,MOD197,COL4
KX218HQ,Automatico,SN5925445,26100,2005,CONC39,MOD917,COL21
QD381LT,Manuale,SN9553703,51700,2002,CONC148,MOD296,COL14
LZ742WM,Manuale,SN3054684,29500,2001,CONC154,MOD485,COL25
KK871KG,Manuale,SN4404353,33500,2004,CONC62,MOD254,COL22
ER918PZ,Automatico,SN4978219,33000,2024,CONC39,MOD544,COL29
HF522HI,Manuale,SN8140862,42400,2018,CONC194,MOD259,COL9
GF235SZ,Automatico,SN6574927,36800,2003,CONC2,MOD760,COL15
JO166JJ,Automatico,SN1493240,64600,2023,CONC71,MOD400,COL22
YL855AF,Manuale,SN6286969,44100,2022,CONC77,MOD691,COL29
KS502NQ,Automatico,SN9210583,38000,2007,CONC71,MOD401,COL16
ES416XJ,Automatico,SN2621426,68800,2011,CONC57,MOD433,COL15
FD842HG,Manuale,SN1123164,53000,2024,CONC99,MOD909,COL16
DD453PT,Manuale,SN6535851,21600,2004,CONC43,MOD392,COL26
JU182TH,Manuale,SN6332729,32000,2023,CONC78,MOD236,COL8
DA538AU,Automatico,SN9709462,63200,2019,CONC199,MOD880,COL17
MO442WV,Manuale,SN7358716,20900,2011,CONC33,MOD577,COL5
CL603FE,Automatico,SN6088426,18700,2012,CONC149,MOD269,COL12
GX758SB,Manuale,SN5025276,38100,2023,CONC97,MOD176,COL17
UQ305SB,Automatico,SN4561542,31100,2012,CONC118,MOD635,COL12
XA411IG,Manuale,SN9421321,34700,2017,CONC3,MOD402,COL30
TN722KW,Manuale,SN2632845,44300,2024,CONC61,MOD346,COL25
HZ217FH,Manuale,SN2255198,63500,2001,CONC103,MOD120,COL15
ZM183ND,Automatico,SN8543708,41200,2011,CONC159,MOD412,COL23
TP277YQ,Manuale,SN4045968,19900,2018,CONC193,MOD846,COL6
CC139OM,Manuale,SN7347649,31300,2015,CONC55,MOD795,COL16
FL198SI,Automatico,SN2738790,25100,2020,CONC108,MOD981,COL26
VJ451GK,Manuale,SN2872305,65500,2011,CONC144,MOD527,COL15
SU777QK,Manuale,SN8267593,44600,2003,CONC14,MOD929,COL3
UH402DX,Manuale,SN5889672,17800,2024,CONC157,MOD403,COL13
FJ315VT,Automatico,SN7265262,35900,2015,CONC44,MOD22,COL20
VI686LE,Automatico,SN1252535,24500,2023,CONC1,MOD261,COL5
KE143ON,Manuale,SN2695365,21900,2008,CONC35,MOD841,COL19
BP640OS,Automatico,SN5195075,38100,2015,CONC39,MOD769,COL23
TK514BZ,Automatico,SN1912298,42800,2011,CONC74,MOD174,COL22
PU931HB,Automatico,SN4144248,51500,2023,CONC16,MOD103,COL16
UD997UT,Automatico,SN7593620,34200,2016,CONC28,MOD353,COL13
RN147AO,Automatico,SN8009088,44100,2003,CONC97,MOD801,COL25
FH471AI,Automatico,SN4554278,51600,2007,CONC148,MOD983,COL19
RR569WR,Automatico,SN2507871,17400,2024,CONC156,MOD891,COL16
OA995EX,Automatico,SN6675607,68700,2019,CONC41,MOD970,COL18
ON428GZ,Manuale,SN5330460,54100,2006,CONC131,MOD309,COL3
IH474BF,Automatico,SN5067958,52200,2012,CONC198,MOD927,COL19
VH554KO,Automatico,SN7448005,42700,2018,CONC44,MOD749,COL17
HW138FN,Automatico,SN7541520,25400,2019,CONC93,MOD66,COL2
AA591WK,Automatico,SN1799568,49400,2018,CONC138,MOD337,COL3
WX386BZ,Automatico,SN7593455,61800,2002,CONC46,MOD12,COL6
MC389JB,Automatico,SN1687779,50300,2000,CONC141,MOD166,COL24
GN433EO,Automatico,SN8459492,63200,2010,CONC108,MOD638,COL25
AK901SE,Automatico,SN9096371,21300,2019,CONC178,MOD964,COL23
OV305FF,Automatico,SN6789106,19500,2003,CONC42,MOD219,COL16
VJ587KH,Automatico,SN2340532,20700,2016,CONC96,MOD322,COL22
WR543LF,Automatico,SN8311651,17400,2024,CONC89,MOD423,COL26
IC153FQ,Manuale,SN1567356,16500,2009,CONC42,MOD195,COL24
TX865KA,Automatico,SN1024124,52900,2015,CONC16,MOD623,COL7
IN894FA,Automatico,SN9084302,35400,2010,CONC20,MOD222,COL25
MK617AY,Manuale,SN7766860,36000,2007,CONC147,MOD340,COL23
YC988BY,Manuale,SN9156730,46200,2016,CONC114,MOD657,COL26
OK888ZL,Automatico,SN9789475,27400,2020,CONC183,MOD527,COL22
KT713YM,Manuale,SN7854237,43200,2004,CONC31,MOD508,COL14
GD925QC,Manuale,SN7273200,51400,2005,CONC85,MOD52,COL2
AV638VM,Manuale,SN2985328,18800,2017,CONC2,MOD380,COL20
